Artist,Album Title,Track Title,Track Position,Duration,Producer,Remixer,Release Date,Catalog Number,Label,release_id
Funky Green Dogs,Body (The Remixes),Body (Funky Derrick's Pariscope Mix),B,7:12,Ralph Falcón and Oscar Gaetan,Funky Derrick,1999,ARP 21045,Airplane! Records,190843
Funky Green Dogs,Body (The Remixes),Body (Fun Kee Runners Remix),C,6:23,Ralph Falcón and Oscar Gaetan,Fun Kee Runners,1999,ARP 21045,Airplane! Records,190843
Funky Green Dogs,Body (The Remixes),Body (T&F Disco Dub),D,5:05,Ralph Falcón and Oscar Gaetan,T&F,1999,ARP 21045,Airplane! Records,190843
Black Box,I Don't Know Anybody Else,I Don't Know Anybody Else (Melody Mix),A,6:35,Groove Groove Melody,,1990,9124,"Airplay Records, Carrere",9444905
Black Box,I Don't Know Anybody Else,I Don't Know Anybody Else (Club Mix),B,6:15,Groove Groove Melody,,1990,9124,"Airplay Records, Carrere",9444905
Ultra Naté,Get It Up (The Feeling),Get It Up (The Feeling) (Extended Mix),A1,,,"Arnthor, Bloodshy",2001,12 AMPMDJ 140,AM:PM,1722779
Ultra Naté,Get It Up (The Feeling),Get It Up (The Feeling) (Tru Faith Vocal Mix),A2,,"Arnthor, Bloodshy",Tru Faith,2001,12 AMPMDJ 140,AM:PM,1722779
Ultra Naté,Get It Up (The Feeling),Get It Up (The Feeling) (Full Intention Mix),B1,,"Arnthor, Bloodshy",Full Intention,2001,12 AMPMDJ 140,AM:PM,1722779
Ultra Naté,Get It Up (The Feeling),Get It Up (The Feeling) (Headrillaz Club Mix),B2,,"Arnthor, Bloodshy",Headrillaz,2001,12 AMPMDJ 140,AM:PM,1722779
Ultra Naté,Get It Up (The Feeling),Get It Up (The Feeling) (Headrillaz Vocal Mix),C1,,"Arnthor, Bloodshy",Headrillaz,2001,12 AMPMDJ 140,AM:PM,1722779
Ultra Naté,Get It Up (The Feeling),Get It Up (The Feeling) (Tru Faith Dub),C2,,"Arnthor, Bloodshy",Tru Faith,2001,12 AMPMDJ 140,AM:PM,1722779
Ultra Naté,Get It Up (The Feeling),Get It Up (The Feeling) (Full Intention Sultra Mix),D1,,"Arnthor, Bloodshy",Full Intention,2001,12 AMPMDJ 140,AM:PM,1722779
Ultra Naté,Get It Up (The Feeling),Get It Up (The Feeling) (Full Intention Dub),D2,,"Arnthor, Bloodshy",Full Intention,2001,12 AMPMDJ 140,AM:PM,1722779
Ultra Naté,Get It Up (The Feeling),Get It Up (The Feeling) (Full Intention Remix),A1,,"Arnthor, Bloodshy",Full Intention,2001,"12AMPM140, 497558-1","AM:PM, AM:PM",507952
Ultra Naté,Get It Up (The Feeling),Get It Up (The Feeling) (Extended Mix),A2,,,"Arnthor, Bloodshy",2001,"12AMPM140, 497558-1","AM:PM, AM:PM",507952
Ultra Naté,Get It Up (The Feeling),Get It Up (The Feeling) (Adam Dived Vocal Mix),AA1,,"Arnthor, Bloodshy",Adam Dived,2001,"12AMPM140, 497558-1","AM:PM, AM:PM",507952
Eartha Kitt & Bronski Beat,Cha Cha Heels,Cha Cha Heels,A1,6:40,Rod Gammons,,1989,612 213,Ariola,5769111
Eartha Kitt & Bronski Beat,Cha Cha Heels,Cha Cha Heels (Radio Mix),A2,3:50,Rod Gammons,,1989,612 213,Ariola,5769111
Eartha Kitt & Bronski Beat,Cha Cha Heels,My Discarded Men,B,Rod Gammons,,,1989,612 213,Ariola,5769111
Taylor Dayne,Can't Get Enough Of Your Love,Can't Get Enough Of Your Love (C+C Extended Club Mix I),A1,6:05,David Cole and Robert Clivillés,Clivillés & Cole,1993,07822-12583-1,Arista,444115
Taylor Dayne,Can't Get Enough Of Your Love,Can't Get Enough Of Your Love (C+C Bonus Beats),A2,4:45,David Cole and Robert Clivillés,Clivillés & Cole,1993,07822-12583-1,Arista,444115
Taylor Dayne,Can't Get Enough Of Your Love,Can't Get Enough Of Your Love (C+C Base Dub),B1,5:00,David Cole and Robert Clivillés,Clivillés & Cole,1993,07822-12583-1,Arista,444115
Taylor Dayne,Can't Get Enough Of Your Love,Can't Get Enough Of Your Love (C+C Extended Album Club Mix),B2,4:43,David Cole and Robert Clivillés,Clivillés & Cole,1993,07822-12583-1,Arista,444115
Real McCoy,Another Night,Another Night (Club Mix),A1,5:45,Freshline,,1994,07822-12725-1,Arista,33011619
Real McCoy,Another Night,Another Night (House Mix),A2,5:15,Freshline,,1994,07822-12725-1,Arista,33011619
Real McCoy,Another Night,Another Night (Armand's Nightmare Mix),B1,6:37,Freshline,Armand Van Helden,1994,07822-12725-1,Arista,33011619
Real McCoy,Another Night,Another Night (Armand's New School Mix),B2,5:14,Freshline,Armand Van Helden,1994,07822-12725-1,Arista,33011619
Deborah Cox,Sentimental,Sentimental (Uptempo Mix),A1,8:00,Dallas Austin,John Robinson,1995,07822-12892-1,Arista,904126
Deborah Cox,Sentimental,Sentimental (Groove Mix),A2,4:10,Dallas Austin,John Robinson,1995,07822-12892-1,Arista,904126
Deborah Cox,Sentimental,Sentimental (Bounce Mix),A3,4:05,Dallas Austin,E-Smoove,1995,07822-12892-1,Arista,904126
Deborah Cox,Sentimental,Sentimental (Smooth Mix),B1,4:32,Dallas Austin,Francis Buckley,1995,07822-12892-1,Arista,904126
Deborah Cox,Sentimental,Sentimental (E-Smoove House Dub),B2,5:32,Dallas Austin,E-Smoove,1995,07822-12892-1,Arista,904126
Deborah Cox,Sentimental,Sentimental (Uno Clio Dub),B3,8:08,Dallas Austin,Uno Clio,1995,07822-12892-1,Arista,904126
Deborah Cox,The Sound Of My Tears / It Could've Been You,It Could've Been You (David Morales Club Mix),A1,11:04,Tim & Bob,David Morales,1996,07822-13278-1,Arista,29066548
Deborah Cox,The Sound Of My Tears / It Could've Been You,It Could've Been You (David Morales Dub),A2,7:07,Tim & Bob,David Morales,1996,07822-13278-1,Arista,29066548
Deborah Cox,The Sound Of My Tears / It Could've Been You,The Sound Of My Tears (Album Version),A3,4:51,Keith Crouch,,1996,07822-13278-1,Arista,29066548
Deborah Cox,The Sound Of My Tears / It Could've Been You,It Could've Been You (David Morales Club Mix II),B1,12:08,Tim & Bob,David Morales,1996,07822-13278-1,Arista,29066548
Deborah Cox,The Sound Of My Tears / It Could've Been You,It Could've Been You (Mass Avenue Hip Hop Remix),B2,4:13,Tim & Bob,Mass Avenue,1996,07822-13278-1,Arista,29066548
Deborah Cox,The Sound Of My Tears / It Could've Been You,It Could've Been You (Mass Avenue Bonus Beats),B3,4:13,Tim & Bob,Mass Avenue,1996,07822-13278-1,Arista,29066548
Deborah Cox,Things Just Ain't The Same (The Dance Mixes),Things Just Ain't The Same (Hex Hector's Club Mix),A1,9:15,"Andre Evans, Bob Antoine",Hex Hector,1997,07822-13381-1,Arista,458712
Deborah Cox,Things Just Ain't The Same (The Dance Mixes),Things Just Ain't The Same (Bonus Beats),A2,4:10,"Andre Evans, Bob Antoine",Hex Hector,1997,07822-13381-1,Arista,458712
Deborah Cox,Things Just Ain't The Same (The Dance Mixes),Things Just Ain't The Same (Hex's Instrumental),B1,9:00,"Andre Evans, Bob Antoine",Hex Hector,1997,07822-13381-1,Arista,458712
Deborah Cox,Things Just Ain't The Same (The Dance Mixes),Things Just Ain't The Same (Hex's Radio Edit),B2,4:08,"Andre Evans, Bob Antoine",Hex Hector,1997,07822-13381-1,Arista,458712
Deborah Cox,Things Just Ain't The Same (The Dance Mixes),Things Just Ain't The Same (Down-Tempo Radio Version),B3,3:40,"Andre Evans, Bob Antoine",Hex Hector,1997,07822-13381-1,Arista,458712
Deborah Cox,It's Over Now (The Remixes),It's Over Now (Hex Retro-Future Mix),A1,7:23,Alonzo Jackson; Kay Gee,Hex Hector,1999,07822-13656-1,Arista,112378
Deborah Cox,It's Over Now (The Remixes),It's Over Now (Allstar Mix),A2,4:15,Alonzo Jackson; Kay Gee,Allstar,1999,07822-13656-1,Arista,112378
